Density,Generation,AliveCount
0,2,0,194
0,2,20,170
0,2,40,125
0,2,60,178
0,2,80,145
0,2,100,94
0,2,120,57
0,2,140,66
0,2,160,86
0,2,180,105
0,2,200,122
0,2,220,102
0,2,240,81
0,2,260,58
0,2,280,83
0,2,300,82
0,2,320,44
0,2,340,55
0,2,360,63
0,2,380,93
0,2,400,87
0,2,420,68
0,2,440,56
0,2,460,69
0,2,480,59
0,2,500,60
0,3,0,305
0,3,20,186
0,3,40,209
0,3,60,216
0,3,80,174
0,3,100,121
0,3,120,107
0,3,140,45
0,3,160,22
0,4,0,388
0,4,20,216
0,4,40,148
0,4,60,108
0,4,80,85
0,4,100,78
0,4,120,55
0,4,140,52
0,4,160,37
0,4,180,64
0,5,0,517
0,5,20,124
0,5,40,81
0,5,60,77
0,5,80,41
0,6,0,622
0,6,20,100
0,6,40,91
0,6,60,59
0,6,80,83
0,6,100,62
0,6,120,55
0,6,140,62
0,6,160,74
0,6,180,86
0,6,200,98
0,6,220,116
0,6,240,92
0,6,260,45
0,6,280,36
0,6,300,26
0,7,0,694
0,7,20,74
0,7,40,122
0,7,60,106
0,7,80,115
0,7,100,117
0,7,120,124
0,7,140,76
0,7,160,81
0,7,180,88
0,7,200,83
0,7,220,47
0,7,240,47
0,7,260,63
